WZ_CD,LA_CD,LA_NM,Group,Group_DESC,SubGroup,SubGroup_DESC
E33028816,E09000001,City of London,B,City Focus,B1,Dynamic financial centres with extended operating hours
E33028817,E09000001,City of London,B,City Focus,B2,"Professional, retail & leisure in dynamic central locations"
E33028818,E09000001,City of London,B,City Focus,B2,"Professional, retail & leisure in dynamic central locations"
E33028819,E09000001,City of London,B,City Focus,B1,Dynamic financial centres with extended operating hours
E33028820,E09000001,City of London,B,City Focus,B1,Dynamic financial centres with extended operating hours
E33028821,E09000001,City of London,B,City Focus,B1,Dynamic financial centres with extended operating hours
E33028822,E09000001,City of London,B,City Focus,B1,Dynamic financial centres with extended operating hours
E33028823,E09000001,City of London,B,City Focus,B2,"Professional, retail & leisure in dynamic central locations"
E33028824,E09000001,City of London,B,City Focus,B2,"Professional, retail & leisure in dynamic central locations"
E33028825,E09000001,City of London,B,City Focus,B1,Dynamic financial centres with extended operating hours
E33028826,E09000001,City of London,B,City Focus,B1,Dynamic financial centres with extended operating hours
E33028827,E09000001,City of London,B,City Focus,B2,"Professional, retail & leisure in dynamic central locations"
E33028828,E09000001,City of London,B,City Focus,B1,Dynamic financial centres with extended operating hours
E33028829,E09000001,City of London,B,City Focus,B1,Dynamic financial centres with extended operating hours
E33028830,E09000001,City of London,B,City Focus,B1,Dynamic financial centres with extended operating hours
E33028831,E09000001,City of London,B,City Focus,B1,Dynamic financial centres with extended operating hours
E33028832,E09000001,City of London,B,City Focus,B1,Dynamic financial centres with extended operating hours
E33028833,E09000001,City of London,B,City Focus,B1,Dynamic financial centres with extended operating hours
E33028834,E09000001,City of London,B,City Focus,B1,Dynamic financial centres with extended operating hours
E33028835,E09000001,City of London,B,City Focus,B1,Dynamic financial centres with extended operating hours
E33028836,E09000001,City of London,B,City Focus,B2,"Professional, retail & leisure in dynamic central locations"
E33028837,E09000001,City of London,B,City Focus,B2,"Professional, retail & leisure in dynamic central locations"
E33028838,E09000001,City of London,B,City Focus,B2,"Professional, retail & leisure in dynamic central locations"
E33028839,E09000001,City of London,B,City Focus,B2,"Professional, retail & leisure in dynamic central locations"
E33028840,E09000001,City of London,B,City Focus,B1,Dynamic financial centres with extended operating hours
E33028841,E09000001,City of London,E,Metropolitan Destinations,E2,"Accessible retail, leisure and tourist services"
E33028842,E09000001,City of London,B,City Focus,B2,"Professional, retail & leisure in dynamic central locations"
E33028843,E09000001,City of London,B,City Focus,B2,"Professional, retail & leisure in dynamic central locations"
E33028844,E09000001,City of London,B,City Focus,B2,"Professional, retail & leisure in dynamic central locations"
E33028845,E09000001,City of London,B,City Focus,B2,"Professional, retail & leisure in dynamic central locations"
E33028846,E09000001,City of London,B,City Focus,B2,"Professional, retail & leisure in dynamic central locations"
E33028847,E09000001,City of London,B,City Focus,B2,"Professional, retail & leisure in dynamic central locations"
E33028848,E09000001,City of London,B,City Focus,B1,Dynamic financial centres with extended operating hours
E33028849,E09000001,City of London,B,City Focus,B1,Dynamic financial centres with extended operating hours
E33028850,E09000001,City of London,B,City Focus,B2,"Professional, retail & leisure in dynamic central locations"
E33028851,E09000001,City of London,B,City Focus,B1,Dynamic financial centres with extended operating hours
E33028852,E09000001,City of London,B,City Focus,B1,Dynamic financial centres with extended operating hours
E33028853,E09000001,City of London,B,City Focus,B1,Dynamic financial centres with extended operating hours
E33028854,E09000001,City of London,B,City Focus,B1,Dynamic financial centres with extended operating hours
E33028855,E09000001,City of London,B,City Focus,B1,Dynamic financial centres with extended operating hours
E33028856,E09000001,City of London,B,City Focus,B2,"Professional, retail & leisure in dynamic central locations"
E33028857,E09000001,City of London,B,City Focus,B2,"Professional, retail & leisure in dynamic central locations"
E33028858,E09000001,City of London,B,City Focus,B2,"Professional, retail & leisure in dynamic central locations"
E33028859,E09000001,City of London,B,City Focus,B2,"Professional, retail & leisure in dynamic central locations"
E33028860,E09000001,City of London,B,City Focus,B2,"Professional, retail & leisure in dynamic central locations"
E33028861,E09000001,City of London,B,City Focus,B2,"Professional, retail & leisure in dynamic central locations"
E33028862,E09000001,City of London,B,City Focus,B2,"Professional, retail & leisure in dynamic central locations"
E33028863,E09000001,City of London,B,City Focus,B2,"Professional, retail & leisure in dynamic central locations"
E33028864,E09000001,City of London,B,City Focus,B2,"Professional, retail & leisure in dynamic central locations"
E33028865,E09000001,City of London,E,Metropolitan Destinations,E2,"Accessible retail, leisure and tourist services"
E33028866,E09000001,City of London,B,City Focus,B2,"Professional, retail & leisure in dynamic central locations"
E33028867,E09000001,City of London,B,City Focus,B2,"Professional, retail & leisure in dynamic central locations"
E33028868,E09000001,City of London,B,City Focus,B2,"Professional, retail & leisure in dynamic central locations"
E33028869,E09000001,City of London,B,City Focus,B1,Dynamic financial centres with extended operating hours
E33028870,E09000001,City of London,B,City Focus,B2,"Professional, retail & leisure in dynamic central locations"
E33028871,E09000001,City of London,B,City Focus,B1,Dynamic financial centres with extended operating hours
E33028872,E09000001,City of London,B,City Focus,B2,"Professional, retail & leisure in dynamic central locations"
E33028873,E09000001,City of London,E,Metropolitan Destinations,E2,"Accessible retail, leisure and tourist services"
E33028874,E09000001,City of London,E,Metropolitan Destinations,E2,"Accessible retail, leisure and tourist services"
E33028875,E09000001,City of London,B,City Focus,B1,Dynamic financial centres with extended operating hours
E33028876,E09000001,City of London,B,City Focus,B2,"Professional, retail & leisure in dynamic central locations"
E33028877,E09000001,City of London,B,City Focus,B2,"Professional, retail & leisure in dynamic central locations"
E33028878,E09000001,City of London,B,City Focus,B2,"Professional, retail & leisure in dynamic central locations"
E33028879,E09000001,City of London,B,City Focus,B2,"Professional, retail & leisure in dynamic central locations"
E33028880,E09000001,City of London,B,City Focus,B2,"Professional, retail & leisure in dynamic central locations"
E33028881,E09000001,City of London,B,City Focus,B2,"Professional, retail & leisure in dynamic central locations"
E33028882,E09000001,City of London,B,City Focus,B2,"Professional, retail & leisure in dynamic central locations"
E33028883,E09000001,City of London,B,City Focus,B2,"Professional, retail & leisure in dynamic central locations"
E33028884,E09000001,City of London,B,City Focus,B2,"Professional, retail & leisure in dynamic central locations"
E33028885,E09000001,City of London,B,City Focus,B2,"Professional, retail & leisure in dynamic central locations"
E33028886,E09000001,City of London,B,City Focus,B2,"Professional, retail & leisure in dynamic central locations"
E33028887,E09000001,City of London,B,City Focus,B2,"Professional, retail & leisure in dynamic central locations"
E33028888,E09000001,City of London,B,City Focus,B2,"Professional, retail & leisure in dynamic central locations"
E33028889,E09000001,City of London,B,City Focus,B2,"Professional, retail & leisure in dynamic central locations"
E33028890,E09000001,City of London,B,City Focus,B2,"Professional, retail & leisure in dynamic central locations"
E33028891,E09000001,City of London,B,City Focus,B2,"Professional, retail & leisure in dynamic central locations"
E33028892,E09000001,City of London,B,City Focus,B2,"Professional, retail & leisure in dynamic central locations"
E33028893,E09000001,City of London,B,City Focus,B2,"Professional, retail & leisure in dynamic central locations"
E33028894,E09000001,City of London,B,City Focus,B2,"Professional, retail & leisure in dynamic central locations"
E33028895,E09000001,City of London,B,City Focus,B2,"Professional, retail & leisure in dynamic central locations"
E33028896,E09000001,City of London,B,City Focus,B2,"Professional, retail & leisure in dynamic central locations"
E33028897,E09000001,City of London,B,City Focus,B2,"Professional, retail & leisure in dynamic central locations"
E33028898,E09000001,City of London,B,City Focus,B2,"Professional, retail & leisure in dynamic central locations"
E33028899,E09000001,City of London,B,City Focus,B2,"Professional, retail & leisure in dynamic central locations"
E33028900,E09000001,City of London,B,City Focus,B2,"Professional, retail & leisure in dynamic central locations"
E33028901,E09000001,City of London,B,City Focus,B2,"Professional, retail & leisure in dynamic central locations"
E33028902,E09000001,City of London,B,City Focus,B2,"Professional, retail & leisure in dynamic central locations"
E33028903,E09000001,City of London,B,City Focus,B2,"Professional, retail & leisure in dynamic central locations"
E33028904,E09000001,City of London,B,City Focus,B2,"Professional, retail & leisure in dynamic central locations"
E33028905,E09000001,City of London,B,City Focus,B2,"Professional, retail & leisure in dynamic central locations"
E33028906,E09000001,City of London,B,City Focus,B2,"Professional, retail & leisure in dynamic central locations"
E33028907,E09000001,City of London,B,City Focus,B2,"Professional, retail & leisure in dynamic central locations"
E33028908,E09000001,City of London,B,City Focus,B2,"Professional, retail & leisure in dynamic central locations"
E33028909,E09000001,City of London,B,City Focus,B2,"Professional, retail & leisure in dynamic central locations"
E33028910,E09000001,City of London,B,City Focus,B2,"Professional, retail & leisure in dynamic central locations"
E33028911,E09000001,City of London,B,City Focus,B2,"Professional, retail & leisure in dynamic central locations"
E33028912,E09000001,City of London,B,City Focus,B2,"Professional, retail & leisure in dynamic central locations"
E33028913,E09000001,City of London,B,City Focus,B2,"Professional, retail & leisure in dynamic central locations"
E33028914,E09000001,City of London,B,City Focus,B2,"Professional, retail & leisure in dynamic central locations"
E33028915,E09000001,City of London,B,City Focus,B2,"Professional, retail & leisure in dynamic central locations"
E33028916,E09000001,City of London,B,City Focus,B1,Dynamic financial centres with extended operating hours
E33028917,E09000001,City of London,B,City Focus,B2,"Professional, retail & leisure in dynamic central locations"
E33028918,E09000001,City of London,B,City Focus,B2,"Professional, retail & leisure in dynamic central locations"
E33028919,E09000001,City of London,B,City Focus,B2,"Professional, retail & leisure in dynamic central locations"
E33028920,E09000001,City of London,B,City Focus,B1,Dynamic financial centres with extended operating hours
E33028921,E09000001,City of London,B,City Focus,B2,"Professional, retail & leisure in dynamic central locations"
E33028922,E09000001,City of London,B,City Focus,B2,"Professional, retail & leisure in dynamic central locations"
E33028923,E09000001,City of London,B,City Focus,B2,"Professional, retail & leisure in dynamic central locations"
E33028924,E09000001,City of London,B,City Focus,B2,"Professional, retail & leisure in dynamic central locations"
E33028925,E09000001,City of London,B,City Focus,B2,"Professional, retail & leisure in dynamic central locations"
E33028926,E09000001,City of London,B,City Focus,B2,"Professional, retail & leisure in dynamic central locations"
E33028927,E09000001,City of London,B,City Focus,B2,"Professional, retail & leisure in dynamic central locations"
E33028928,E09000001,City of London,B,City Focus,B2,"Professional, retail & leisure in dynamic central locations"
E33028929,E09000001,City of London,B,City Focus,B2,"Professional, retail & leisure in dynamic central locations"
E33028930,E09000001,City of London,B,City Focus,B2,"Professional, retail & leisure in dynamic central locations"
E33028931,E09000001,City of London,B,City Focus,B2,"Professional, retail & leisure in dynamic central locations"
E33028932,E09000001,City of London,B,City Focus,B2,"Professional, retail & leisure in dynamic central locations"
E33028933,E09000001,City of London,B,City Focus,B2,"Professional, retail & leisure in dynamic central locations"
E33028934,E09000001,City of London,B,City Focus,B2,"Professional, retail & leisure in dynamic central locations"
E33028935,E09000001,City of London,B,City Focus,B2,"Professional, retail & leisure in dynamic central locations"
E33028936,E09000001,City of London,B,City Focus,B2,"Professional, retail & leisure in dynamic central locations"
E33028937,E09000001,City of London,B,City Focus,B2,"Professional, retail & leisure in dynamic central locations"
E33028938,E09000001,City of London,B,City Focus,B2,"Professional, retail & leisure in dynamic central locations"
E33028939,E09000001,City of London,B,City Focus,B2,"Professional, retail & leisure in dynamic central locations"
E33028940,E09000001,City of London,E,Metropolitan Destinations,E1,High street destinations and domestic employers
E33028941,E09000001,City of London,B,City Focus,B1,Dynamic financial centres with extended operating hours
E33028942,E09000001,City of London,B,City Focus,B1,Dynamic financial centres with extended operating hours
E33028943,E09000001,City of London,B,City Focus,B1,Dynamic financial centres with extended operating hours
E33028944,E09000001,City of London,B,City Focus,B1,Dynamic financial centres with extended operating hours
E33028945,E09000001,City of London,B,City Focus,B1,Dynamic financial centres with extended operating hours
E33028946,E09000001,City of London,B,City Focus,B1,Dynamic financial centres with extended operating hours
E33028947,E09000001,City of London,B,City Focus,B1,Dynamic financial centres with extended operating hours
E33028948,E09000001,City of London,B,City Focus,B1,Dynamic financial centres with extended operating hours
E33028949,E09000001,City of London,B,City Focus,B1,Dynamic financial centres with extended operating hours
E33028950,E09000001,City of London,B,City Focus,B2,"Professional, retail & leisure in dynamic central locations"
E33028951,E09000001,City of London,B,City Focus,B1,Dynamic financial centres with extended operating hours
E33028952,E09000001,City of London,B,City Focus,B2,"Professional, retail & leisure in dynamic central locations"
E33028953,E09000001,City of London,B,City Focus,B1,Dynamic financial centres with extended operating hours
E33028954,E09000001,City of London,B,City Focus,B1,Dynamic financial centres with extended operating hours
E33028955,E09000001,City of London,E,Metropolitan Destinations,E2,"Accessible retail, leisure and tourist services"
E33028956,E09000001,City of London,B,City Focus,B1,Dynamic financial centres with extended operating hours
E33028957,E09000001,City of London,B,City Focus,B1,Dynamic financial centres with extended operating hours
E33028958,E09000001,City of London,E,Metropolitan Destinations,E2,"Accessible retail, leisure and tourist services"
E33028959,E09000001,City of London,B,City Focus,B1,Dynamic financial centres with extended operating hours
E33028960,E09000001,City of London,B,City Focus,B1,Dynamic financial centres with extended operating hours
E33028961,E09000001,City of London,B,City Focus,B1,Dynamic financial centres with extended operating hours
E33028962,E09000001,City of London,B,City Focus,B1,Dynamic financial centres with extended operating hours
E33028963,E09000001,City of London,B,City Focus,B1,Dynamic financial centres with extended operating hours
E33028964,E09000001,City of London,B,City Focus,B2,"Professional, retail & leisure in dynamic central locations"
E33028965,E09000001,City of London,B,City Focus,B1,Dynamic financial centres with extended operating hours
E33028966,E09000001,City of London,B,City Focus,B1,Dynamic financial centres with extended operating hours
E33028967,E09000001,City of London,B,City Focus,B1,Dynamic financial centres with extended operating hours
E33028968,E09000001,City of London,B,City Focus,B1,Dynamic financial centres with extended operating hours
E33028969,E09000001,City of London,B,City Focus,B2,"Professional, retail & leisure in dynamic central locations"
E33028970,E09000001,City of London,B,City Focus,B1,Dynamic financial centres with extended operating hours
E33028971,E09000001,City of London,B,City Focus,B1,Dynamic financial centres with extended operating hours
E33028972,E09000001,City of London,B,City Focus,B1,Dynamic financial centres with extended operating hours
E33028973,E09000001,City of London,B,City Focus,B2,"Professional, retail & leisure in dynamic central locations"
E33028974,E09000001,City of London,B,City Focus,B1,Dynamic financial centres with extended operating hours
E33028975,E09000001,City of London,B,City Focus,B1,Dynamic financial centres with extended operating hours
E33028976,E09000001,City of London,B,City Focus,B1,Dynamic financial centres with extended operating hours
E33028977,E09000001,City of London,B,City Focus,B1,Dynamic financial centres with extended operating hours
E33028978,E09000001,City of London,B,City Focus,B1,Dynamic financial centres with extended operating hours
E33028979,E09000001,City of London,B,City Focus,B1,Dynamic financial centres with extended operating hours
E33028980,E09000001,City of London,B,City Focus,B1,Dynamic financial centres with extended operating hours
E33028981,E09000001,City of London,B,City Focus,B1,Dynamic financial centres with extended operating hours
E33028982,E09000001,City of London,B,City Focus,B1,Dynamic financial centres with extended operating hours
E33028983,E09000001,City of London,B,City Focus,B1,Dynamic financial centres with extended operating hours
E33028984,E09000001,City of London,B,City Focus,B1,Dynamic financial centres with extended operating hours
E33028985,E09000001,City of London,B,City Focus,B2,"Professional, retail & leisure in dynamic central locations"
E33028986,E09000001,City of London,B,City Focus,B2,"Professional, retail & leisure in dynamic central locations"
E33028987,E09000001,City of London,B,City Focus,B1,Dynamic financial centres with extended operating hours
E33028988,E09000001,City of London,B,City Focus,B2,"Professional, retail & leisure in dynamic central locations"
E33028989,E09000001,City of London,B,City Focus,B2,"Professional, retail & leisure in dynamic central locations"
E33028990,E09000001,City of London,B,City Focus,B1,Dynamic financial centres with extended operating hours
E33028991,E09000001,City of London,B,City Focus,B2,"Professional, retail & leisure in dynamic central locations"
E33028992,E09000001,City of London,E,Metropolitan Destinations,E2,"Accessible retail, leisure and tourist services"
E33028993,E09000001,City of London,B,City Focus,B1,Dynamic financial centres with extended operating hours
E33028994,E09000001,City of London,B,City Focus,B1,Dynamic financial centres with extended operating hours
E33028995,E09000001,City of London,B,City Focus,B1,Dynamic financial centres with extended operating hours
E33028996,E09000001,City of London,B,City Focus,B1,Dynamic financial centres with extended operating hours
E33028997,E09000001,City of London,B,City Focus,B1,Dynamic financial centres with extended operating hours
E33028998,E09000001,City of London,B,City Focus,B1,Dynamic financial centres with extended operating hours
E33028999,E09000001,City of London,B,City Focus,B1,Dynamic financial centres with extended operating hours
E33029000,E09000001,City of London,B,City Focus,B1,Dynamic financial centres with extended operating hours
E33029001,E09000001,City of London,B,City Focus,B1,Dynamic financial centres with extended operating hours
E33029002,E09000001,City of London,B,City Focus,B2,"Professional, retail & leisure in dynamic central locations"
E33029003,E09000001,City of London,B,City Focus,B1,Dynamic financial centres with extended operating hours
E33029004,E09000001,City of London,B,City Focus,B1,Dynamic financial centres with extended operating hours
E33029005,E09000001,City of London,B,City Focus,B1,Dynamic financial centres with extended operating hours
E33029006,E09000001,City of London,B,City Focus,B1,Dynamic financial centres with extended operating hours
E33029007,E09000001,City of London,B,City Focus,B1,Dynamic financial centres with extended operating hours
E33029008,E09000001,City of London,B,City Focus,B1,Dynamic financial centres with extended operating hours
E33029009,E09000002,Barking and Dagenham,C,"Infrastructure Support
",C2,"Blue collar, manufacturing and transport services"
E33029010,E09000002,Barking and Dagenham,C,"Infrastructure Support
",C1,Younger customer service workers in wholesale or retail
E33029011,E09000002,Barking and Dagenham,C,"Infrastructure Support
",C2,"Blue collar, manufacturing and transport services"
E33029012,E09000002,Barking and Dagenham,C,"Infrastructure Support
",C1,Younger customer service workers in wholesale or retail
E33029013,E09000002,Barking and Dagenham,C,"Infrastructure Support
",C1,Younger customer service workers in wholesale or retail
E33029014,E09000002,Barking and Dagenham,C,"Infrastructure Support
",C1,Younger customer service workers in wholesale or retail
E33029015,E09000002,Barking and Dagenham,C,"Infrastructure Support
",C2,"Blue collar, manufacturing and transport services"
E33029016,E09000002,Barking and Dagenham,C,"Infrastructure Support
",C1,Younger customer service workers in wholesale or retail
E33029017,E09000002,Barking and Dagenham,A,Residential Services,A1,"Predominantly older, local education and health workers"
E33029018,E09000002,Barking and Dagenham,A,Residential Services,A1,"Predominantly older, local education and health workers"
E33029019,E09000002,Barking and Dagenham,C,"Infrastructure Support
",C2,"Blue collar, manufacturing and transport services"
E33029020,E09000002,Barking and Dagenham,C,"Infrastructure Support
",C1,Younger customer service workers in wholesale or retail
E33029021,E09000002,Barking and Dagenham,A,Residential Services,A1,"Predominantly older, local education and health workers"
E33029022,E09000002,Barking and Dagenham,C,"Infrastructure Support
",C2,"Blue collar, manufacturing and transport services"
E33029023,E09000002,Barking and Dagenham,C,"Infrastructure Support
",C2,"Blue collar, manufacturing and transport services"
E33029024,E09000002,Barking and Dagenham,C,"Infrastructure Support
",C2,"Blue collar, manufacturing and transport services"
E33029025,E09000002,Barking and Dagenham,C,"Infrastructure Support
",C2,"Blue collar, manufacturing and transport services"
E33029026,E09000002,Barking and Dagenham,C,"Infrastructure Support
",C2,"Blue collar, manufacturing and transport services"
E33029027,E09000002,Barking and Dagenham,C,"Infrastructure Support
",C2,"Blue collar, manufacturing and transport services"
E33029028,E09000002,Barking and Dagenham,C,"Infrastructure Support
",C2,"Blue collar, manufacturing and transport services"
E33029029,E09000002,Barking and Dagenham,C,"Infrastructure Support
",C1,Younger customer service workers in wholesale or retail
E33029030,E09000002,Barking and Dagenham,C,"Infrastructure Support
",C2,"Blue collar, manufacturing and transport services"
E33029031,E09000002,Barking and Dagenham,C,"Infrastructure Support
",C2,"Blue collar, manufacturing and transport services"
E33029032,E09000003,Barnet,A,Residential Services,A1,"Predominantly older, local education and health workers"
E33029033,E09000003,Barnet,D,Integrating and Independent Service Providers,D3,Travelling or home-based general service providers
E33029034,E09000003,Barnet,E,Metropolitan Destinations,E2,"Accessible retail, leisure and tourist services"
E33029035,E09000003,Barnet,A,Residential Services,A1,"Predominantly older, local education and health workers"
E33029036,E09000003,Barnet,B,City Focus,B2,"Professional, retail & leisure in dynamic central locations"
E33029037,E09000003,Barnet,C,"Infrastructure Support
",C2,"Blue collar, manufacturing and transport services"
E33029038,E09000003,Barnet,B,City Focus,B2,"Professional, retail & leisure in dynamic central locations"
E33029039,E09000003,Barnet,C,"Infrastructure Support
",C2,"Blue collar, manufacturing and transport services"
E33029040,E09000003,Barnet,C,"Infrastructure Support
",C1,Younger customer service workers in wholesale or retail
E33029041,E09000003,Barnet,C,"Infrastructure Support
",C1,Younger customer service workers in wholesale or retail
E33029042,E09000003,Barnet,C,"Infrastructure Support
",C2,"Blue collar, manufacturing and transport services"
E33029043,E09000003,Barnet,C,"Infrastructure Support
",C1,Younger customer service workers in wholesale or retail
E33029044,E09000003,Barnet,C,"Infrastructure Support
",C1,Younger customer service workers in wholesale or retail
E33029045,E09000003,Barnet,C,"Infrastructure Support
",C2,"Blue collar, manufacturing and transport services"
E33029046,E09000003,Barnet,A,Residential Services,A1,"Predominantly older, local education and health workers"
E33029047,E09000003,Barnet,E,Metropolitan Destinations,E1,High street destinations and domestic employers
E33029048,E09000003,Barnet,C,"Infrastructure Support
",C2,"Blue collar, manufacturing and transport services"
E33029049,E09000003,Barnet,C,"Infrastructure Support
",C2,"Blue collar, manufacturing and transport services"
E33029050,E09000003,Barnet,E,Metropolitan Destinations,E1,High street destinations and domestic employers
E33029051,E09000003,Barnet,A,Residential Services,A1,"Predominantly older, local education and health workers"
E33029052,E09000003,Barnet,A,Residential Services,A1,"Predominantly older, local education and health workers"
E33029053,E09000003,Barnet,C,"Infrastructure Support
",C1,Younger customer service workers in wholesale or retail
E33029054,E09000003,Barnet,C,"Infrastructure Support
",C2,"Blue collar, manufacturing and transport services"
E33029055,E09000003,Barnet,C,"Infrastructure Support
",C1,Younger customer service workers in wholesale or retail
E33029056,E09000003,Barnet,A,Residential Services,A1,"Predominantly older, local education and health workers"
E33029057,E09000003,Barnet,D,Integrating and Independent Service Providers,D2,Locally sourced home helps & domestic / manual workers
E33029058,E09000003,Barnet,E,Metropolitan Destinations,E1,High street destinations and domestic employers
E33029059,E09000003,Barnet,A,Residential Services,A1,"Predominantly older, local education and health workers"
E33029060,E09000003,Barnet,A,Residential Services,A1,"Predominantly older, local education and health workers"
E33029061,E09000003,Barnet,C,"Infrastructure Support
",C1,Younger customer service workers in wholesale or retail
E33029062,E09000003,Barnet,C,"Infrastructure Support
",C2,"Blue collar, manufacturing and transport services"
E33029063,E09000003,Barnet,C,"Infrastructure Support
",C2,"Blue collar, manufacturing and transport services"
E33029064,E09000003,Barnet,A,Residential Services,A1,"Predominantly older, local education and health workers"
E33029065,E09000003,Barnet,A,Residential Services,A1,"Predominantly older, local education and health workers"
E33029066,E09000003,Barnet,C,"Infrastructure Support
",C1,Younger customer service workers in wholesale or retail
E33029067,E09000003,Barnet,C,"Infrastructure Support
",C1,Younger customer service workers in wholesale or retail
E33029068,E09000003,Barnet,C,"Infrastructure Support
",C2,"Blue collar, manufacturing and transport services"
E33029069,E09000003,Barnet,A,Residential Services,A1,"Predominantly older, local education and health workers"
E33029070,E09000003,Barnet,C,"Infrastructure Support
",C1,Younger customer service workers in wholesale or retail
E33029071,E09000003,Barnet,C,"Infrastructure Support
",C2,"Blue collar, manufacturing and transport services"
E33029072,E09000003,Barnet,C,"Infrastructure Support
",C2,"Blue collar, manufacturing and transport services"
E33029073,E09000003,Barnet,D,Integrating and Independent Service Providers,D3,Travelling or home-based general service providers
E33029074,E09000003,Barnet,B,City Focus,B2,"Professional, retail & leisure in dynamic central locations"
E33029075,E09000003,Barnet,C,"Infrastructure Support
",C2,"Blue collar, manufacturing and transport services"
E33029076,E09000003,Barnet,C,"Infrastructure Support
",C2,"Blue collar, manufacturing and transport services"
E33029077,E09000003,Barnet,C,"Infrastructure Support
",C2,"Blue collar, manufacturing and transport services"
E33029078,E09000003,Barnet,C,"Infrastructure Support
",C2,"Blue collar, manufacturing and transport services"
E33029079,E09000003,Barnet,C,"Infrastructure Support
",C2,"Blue collar, manufacturing and transport services"
E33029080,E09000003,Barnet,C,"Infrastructure Support
",C1,Younger customer service workers in wholesale or retail
E33029081,E09000003,Barnet,C,"Infrastructure Support
",C1,Younger customer service workers in wholesale or retail
E33029082,E09000003,Barnet,C,"Infrastructure Support
",C2,"Blue collar, manufacturing and transport services"
E33029083,E09000003,Barnet,A,Residential Services,A1,"Predominantly older, local education and health workers"
E33029084,E09000003,Barnet,A,Residential Services,A1,"Predominantly older, local education and health workers"
E33029085,E09000003,Barnet,E,Metropolitan Destinations,E1,High street destinations and domestic employers
E33029086,E09000003,Barnet,C,"Infrastructure Support
",C2,"Blue collar, manufacturing and transport services"
E33029087,E09000003,Barnet,C,"Infrastructure Support
",C1,Younger customer service workers in wholesale or retail
E33029088,E09000003,Barnet,C,"Infrastructure Support
",C1,Younger customer service workers in wholesale or retail
E33029089,E09000003,Barnet,A,Residential Services,A1,"Predominantly older, local education and health workers"
E33029090,E09000003,Barnet,D,Integrating and Independent Service Providers,D1,Health care support staff and routine services 
E33029091,E09000003,Barnet,C,"Infrastructure Support
",C2,"Blue collar, manufacturing and transport services"
E33029092,E09000003,Barnet,D,Integrating and Independent Service Providers,D3,Travelling or home-based general service providers
E33029093,E09000003,Barnet,A,Residential Services,A1,"Predominantly older, local education and health workers"
E33029094,E09000004,Bexley,C,"Infrastructure Support
",C2,"Blue collar, manufacturing and transport services"
E33029095,E09000004,Bexley,C,"Infrastructure Support
",C2,"Blue collar, manufacturing and transport services"
E33029096,E09000004,Bexley,C,"Infrastructure Support
",C2,"Blue collar, manufacturing and transport services"
E33029097,E09000004,Bexley,C,"Infrastructure Support
",C1,Younger customer service workers in wholesale or retail
E33029098,E09000004,Bexley,A,Residential Services,A1,"Predominantly older, local education and health workers"
E33029099,E09000004,Bexley,C,"Infrastructure Support
",C1,Younger customer service workers in wholesale or retail
E33029100,E09000004,Bexley,C,"Infrastructure Support
",C2,"Blue collar, manufacturing and transport services"
E33029101,E09000004,Bexley,C,"Infrastructure Support
",C2,"Blue collar, manufacturing and transport services"
E33029102,E09000004,Bexley,C,"Infrastructure Support
",C2,"Blue collar, manufacturing and transport services"
E33029103,E09000004,Bexley,C,"Infrastructure Support
",C1,Younger customer service workers in wholesale or retail
E33029104,E09000004,Bexley,C,"Infrastructure Support
",C1,Younger customer service workers in wholesale or retail
E33029105,E09000004,Bexley,C,"Infrastructure Support
",C1,Younger customer service workers in wholesale or retail
E33029106,E09000004,Bexley,C,"Infrastructure Support
",C1,Younger customer service workers in wholesale or retail
E33029107,E09000004,Bexley,C,"Infrastructure Support
",C2,"Blue collar, manufacturing and transport services"
E33029108,E09000004,Bexley,C,"Infrastructure Support
",C1,Younger customer service workers in wholesale or retail
E33029109,E09000004,Bexley,C,"Infrastructure Support
",C2,"Blue collar, manufacturing and transport services"
E33029110,E09000004,Bexley,C,"Infrastructure Support
",C2,"Blue collar, manufacturing and transport services"
E33029111,E09000004,Bexley,C,"Infrastructure Support
",C2,"Blue collar, manufacturing and transport services"
E33029112,E09000004,Bexley,C,"Infrastructure Support
",C1,Younger customer service workers in wholesale or retail
E33029113,E09000004,Bexley,C,"Infrastructure Support
",C2,"Blue collar, manufacturing and transport services"
E33029114,E09000004,Bexley,C,"Infrastructure Support
",C1,Younger customer service workers in wholesale or retail
E33029115,E09000004,Bexley,C,"Infrastructure Support
",C2,"Blue collar, manufacturing and transport services"
E33029116,E09000004,Bexley,C,"Infrastructure Support
",C2,"Blue collar, manufacturing and transport services"
E33029117,E09000004,Bexley,C,"Infrastructure Support
",C2,"Blue collar, manufacturing and transport services"
E33029118,E09000004,Bexley,C,"Infrastructure Support
",C2,"Blue collar, manufacturing and transport services"
E33029119,E09000004,Bexley,C,"Infrastructure Support
",C2,"Blue collar, manufacturing and transport services"
E33029120,E09000004,Bexley,C,"Infrastructure Support
",C2,"Blue collar, manufacturing and transport services"
E33029121,E09000004,Bexley,C,"Infrastructure Support
",C1,Younger customer service workers in wholesale or retail
E33029122,E09000004,Bexley,C,"Infrastructure Support
",C1,Younger customer service workers in wholesale or retail
E33029123,E09000004,Bexley,C,"Infrastructure Support
",C1,Younger customer service workers in wholesale or retail
